🚀 Starting Pi Monitor...
✅ Data pushed: {'timestamp': 1771357302450, 'cpu_temp': 41.9, 'cpu_usage': 3.5, 'memory_usage': 61.1, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771357308764, 'cpu_temp': 41.4, 'cpu_usage': 4.3, 'memory_usage': 61.1, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771357315085, 'cpu_temp': 42.5, 'cpu_usage': 4.5, 'memory_usage': 61.1, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771357321482, 'cpu_temp': 42.5, 'cpu_usage': 5.7, 'memory_usage': 61.1, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771357327877, 'cpu_temp': 43.5, 'cpu_usage': 5.3, 'memory_usage': 61.1, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771357334203, 'cpu_temp': 41.9, 'cpu_usage': 4.8, 'memory_usage': 61.0, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771357340510, 'cpu_temp': 41.4, 'cpu_usage': 6.3, 'memory_usage': 61.0, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771357346826, 'cpu_temp': 41.9, 'cpu_usage': 5.8, 'memory_usage': 61.0, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771357353163, 'cpu_temp': 43.0, 'cpu_usage': 6.2, 'memory_usage': 61.0, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771357359493, 'cpu_temp': 42.5, 'cpu_usage': 3.3, 'memory_usage': 61.1, 'disk_usage': 21.5}
